name,datetime,Mean Area-Weighted Radiance
Guangzhou,2014/3/14,9.705483132
Guangzhou,2014/3/15,9.706857759
Guangzhou,2014/3/16,9.711359047
Guangzhou,2014/3/17,9.716510677
Guangzhou,2014/3/18,9.028453358
Guangzhou,2014/3/19,8.014913314
Guangzhou,2014/3/20,9.704879372
Guangzhou,2014/3/21,9.699621237
Guangzhou,2014/3/22,9.7008075
Guangzhou,2014/3/23,8.82924322
Guangzhou,2014/3/24,9.222186017
Guangzhou,2014/3/25,8.379564886
Guangzhou,2014/3/26,8.266263633
Guangzhou,2014/3/27,9.2318672
Guangzhou,2014/3/28,9.557404422
Guangzhou,2014/3/29,9.577318312
Guangzhou,2014/3/30,9.465412942
Guangzhou,2014/3/31,8.618413537
Guangzhou,2014/4/1,9.568677993
Guangzhou,2014/4/2,9.533591194
Guangzhou,2014/4/3,8.788515452
Guangzhou,2014/4/4,8.054592756
Guangzhou,2014/4/5,9.472452055
Guangzhou,2014/4/6,9.294376217
Guangzhou,2014/4/7,9.437919494
Guangzhou,2014/4/8,8.834286761
Guangzhou,2014/4/9,9.163834801
Guangzhou,2014/4/10,8.90980691
Guangzhou,2014/4/11,9.410758453
Guangzhou,2014/4/12,9.452238094
Guangzhou,2014/4/13,8.504732164
Guangzhou,2014/4/14,9.470712233
Guangzhou,2014/4/15,9.017181596
Guangzhou,2014/4/16,8.641295121
Guangzhou,2014/4/17,7.772987751
Guangzhou,2014/4/18,7.72295598
Guangzhou,2014/4/19,8.759332834
Guangzhou,2014/4/20,9.114857461
Guangzhou,2014/4/21,8.58846073
Guangzhou,2014/4/22,9.476143808
Guangzhou,2014/4/23,8.384254538
Guangzhou,2014/4/24,8.206323873
Guangzhou,2014/4/25,8.553933595
Guangzhou,2014/4/26,8.643220594
Guangzhou,2014/4/27,8.950635983
Guangzhou,2014/4/28,8.263387973
Guangzhou,2014/4/29,8.588239577
Guangzhou,2014/4/30,8.856001529
Guangzhou,2014/5/1,8.909645907
Guangzhou,2014/5/2,8.907377399
Guangzhou,2014/5/3,8.916920645
Guangzhou,2014/5/4,8.916789944
Guangzhou,2014/5/5,8.916116085
Guangzhou,2014/5/6,8.916694066
Guangzhou,2014/5/7,7.437408899
Guangzhou,2014/5/8,8.899445536
Guangzhou,2014/5/9,8.913404367
Guangzhou,2014/5/10,8.912937189
Guangzhou,2014/5/11,8.244128721
Guangzhou,2014/5/12,8.549974561
Guangzhou,2014/5/13,8.213752151
Guangzhou,2014/5/14,8.656332579
Guangzhou,2014/5/15,8.913269596
Guangzhou,2014/5/16,8.913404367
Guangzhou,2014/5/17,8.912862341
Guangzhou,2014/5/18,8.858444381
Guangzhou,2014/5/19,8.290035027
Guangzhou,2014/5/20,8.892706268
Guangzhou,2014/5/21,8.821338266
Guangzhou,2014/5/22,8.871481517
Guangzhou,2014/5/23,8.86031287
Guangzhou,2014/5/24,7.722278051
Guangzhou,2014/5/25,8.889785609
Guangzhou,2014/5/26,7.433981263
Guangzhou,2014/5/27,7.965983461
Guangzhou,2014/5/28,8.075768437
Guangzhou,2014/5/29,8.752987253
Guangzhou,2014/5/30,8.74816283
Guangzhou,2014/5/31,7.979330166
Guangzhou,2014/6/1,8.773361765
Guangzhou,2014/6/2,8.269049972
Guangzhou,2014/6/3,7.706304878
Guangzhou,2014/6/4,8.720587071
Guangzhou,2014/6/5,8.719444451
Guangzhou,2014/6/6,8.716598414
Guangzhou,2014/6/7,7.78662028
Guangzhou,2014/6/8,8.301186942
Guangzhou,2014/6/9,8.659324015
Guangzhou,2014/6/10,8.660938337
Guangzhou,2014/6/11,7.954959082
Guangzhou,2014/6/12,7.837431286
Guangzhou,2014/6/13,8.627436012
Guangzhou,2014/6/14,8.649015781
Guangzhou,2014/6/15,8.661384939
Guangzhou,2014/6/16,7.472905893
Guangzhou,2014/6/17,8.659254368
Guangzhou,2014/6/18,8.531393011
Guangzhou,2014/6/19,8.621009703
Guangzhou,2014/6/20,8.636459165
Guangzhou,2014/6/21,8.659416275
Guangzhou,2014/6/22,8.556852671
Guangzhou,2014/6/23,8.659416275
Guangzhou,2014/6/24,8.23669999
Guangzhou,2014/6/25,8.434513567
Guangzhou,2014/6/26,8.274834984
Guangzhou,2014/6/27,8.350943516
Guangzhou,2014/6/28,8.59894376
Guangzhou,2014/6/29,8.488704495
Guangzhou,2014/6/30,8.575495501
Guangzhou,2014/7/1,8.528141755
Guangzhou,2014/7/2,8.638244665
Guangzhou,2014/7/3,8.395475195
Guangzhou,2014/7/4,8.639893132
Guangzhou,2014/7/5,8.585899613
Guangzhou,2014/7/6,8.651893928
Guangzhou,2014/7/7,8.365172117
Guangzhou,2014/7/8,8.489793749
Guangzhou,2014/7/9,7.525103057
Guangzhou,2014/7/10,8.004513951
Guangzhou,2014/7/11,7.425251171
Guangzhou,2014/7/12,8.304464203
Guangzhou,2014/7/13,7.847165383
Guangzhou,2014/7/14,8.622557996
Guangzhou,2014/7/15,8.640737717
Guangzhou,2014/7/16,8.577003091
Guangzhou,2014/7/17,8.258333804
Guangzhou,2014/7/18,8.640737717
Guangzhou,2014/7/19,8.640737717
Guangzhou,2014/7/20,7.714319956
Guangzhou,2014/7/21,8.627908617
Guangzhou,2014/7/22,7.967391103
Guangzhou,2014/7/23,8.618785516
Guangzhou,2014/7/24,8.618785516
Guangzhou,2014/7/25,7.733511371
Guangzhou,2014/7/26,8.205999154
Guangzhou,2014/7/27,8.17507106
Guangzhou,2014/7/28,8.754759412
Guangzhou,2014/7/29,7.175935997
Guangzhou,2014/7/31,8.649101257
Guangzhou,2014/8/1,8.346380495
Guangzhou,2014/8/2,8.616623966
Guangzhou,2014/8/3,6.750364856
Guangzhou,2014/8/4,7.825084967
Guangzhou,2014/8/5,8.460788189
Guangzhou,2014/8/6,8.460788189
Guangzhou,2014/8/7,8.434169175
Guangzhou,2014/8/8,8.460788189
Guangzhou,2014/8/9,8.460788189
Guangzhou,2014/8/10,8.460838841
Guangzhou,2014/8/11,8.460788189
Guangzhou,2014/8/12,8.460788189
Guangzhou,2014/8/13,8.460788189
Guangzhou,2014/8/14,8.343605688
Guangzhou,2014/8/15,7.750949621
Guangzhou,2014/8/16,8.458312548
Guangzhou,2014/8/17,8.422716963
Guangzhou,2014/8/18,8.469002485
Guangzhou,2014/8/19,8.460788189
Guangzhou,2014/8/20,8.464597075
Guangzhou,2014/8/21,7.428737147
Guangzhou,2014/8/22,7.29162651
Guangzhou,2014/8/23,8.079094089
Guangzhou,2014/8/24,8.48896228
Guangzhou,2014/8/25,8.416987805
Guangzhou,2014/8/26,8.26863141
Guangzhou,2014/8/27,8.36397319
Guangzhou,2014/8/28,7.994188757
Guangzhou,2014/8/29,8.570987203
Guangzhou,2014/8/30,8.503195856
Guangzhou,2014/8/31,7.891710177
Guangzhou,2014/9/1,7.789232502
Guangzhou,2014/9/2,8.189115142
Guangzhou,2014/9/3,8.535260691
Guangzhou,2014/9/4,7.629667435
Guangzhou,2014/9/5,7.883376938
Guangzhou,2014/9/6,8.32593204
Guangzhou,2014/9/7,7.908087439
Guangzhou,2014/9/8,7.707848196
Guangzhou,2014/9/9,8.188411886
Guangzhou,2014/9/11,8.308979737
Guangzhou,2014/9/12,7.64917701
Guangzhou,2014/9/13,8.030465664
Guangzhou,2014/9/14,8.112473854
Guangzhou,2014/9/15,8.305375043
Guangzhou,2014/9/16,7.357582158
Guangzhou,2014/9/17,8.279862243
Guangzhou,2014/9/18,7.926631677
Guangzhou,2014/9/19,8.361775008
Guangzhou,2014/9/20,8.06277856
Guangzhou,2014/9/21,8.390192864
Guangzhou,2014/9/22,8.04908068
Guangzhou,2014/9/23,7.995864586
Guangzhou,2014/9/24,8.164409616
Guangzhou,2014/9/25,6.296112648
Guangzhou,2014/9/27,8.017787391
Guangzhou,2014/9/28,7.956380292
Guangzhou,2014/9/29,8.120337201
Guangzhou,2014/9/30,7.980101712
Guangzhou,2014/10/1,7.886218
Guangzhou,2014/10/2,7.694164336
Guangzhou,2014/10/3,7.906340154
Guangzhou,2014/10/4,8.200508786
Guangzhou,2014/10/5,9.635679704
Guangzhou,2014/10/6,8.654035805
Guangzhou,2014/10/7,8.209979219
Guangzhou,2014/10/8,8.398918208
Guangzhou,2014/10/10,8.953789326
Guangzhou,2014/10/11,9.892494613
Guangzhou,2014/10/12,9.155428748
Guangzhou,2014/10/13,8.397167079
Guangzhou,2014/10/14,8.234262113
Guangzhou,2014/10/16,8.262291482
Guangzhou,2014/10/17,7.449698686
Guangzhou,2014/10/18,8.097695764
Guangzhou,2014/10/19,8.101431837
Guangzhou,2014/10/20,8.45826981
Guangzhou,2014/10/21,8.565929643
Guangzhou,2014/10/22,8.397004719
Guangzhou,2014/10/23,8.517701915
Guangzhou,2014/10/24,8.224731983
Guangzhou,2014/10/25,8.515910987
Guangzhou,2014/10/26,8.499908418
Guangzhou,2014/10/27,8.149021435
Guangzhou,2014/10/28,8.555267294
Guangzhou,2014/10/29,8.140136219
Guangzhou,2014/10/31,8.019769395
Guangzhou,2014/11/1,6.008700696
Guangzhou,2014/11/2,8.289261898
Guangzhou,2014/11/3,8.290173643
Guangzhou,2014/11/4,8.301333472
Guangzhou,2014/11/5,8.301333472
Guangzhou,2014/11/6,8.301333472
Guangzhou,2014/11/7,8.301333472
Guangzhou,2014/11/8,8.298726452
Guangzhou,2014/11/9,8.255637238
Guangzhou,2014/11/10,8.299365713
Guangzhou,2014/11/11,8.296432617
Guangzhou,2014/11/13,8.274356725
Guangzhou,2014/11/14,8.298628765
Guangzhou,2014/11/15,8.059379869
Guangzhou,2014/11/16,8.84846991
Guangzhou,2014/11/17,9.722624025
Guangzhou,2014/11/18,8.816135758
Guangzhou,2014/11/19,8.185708536
Guangzhou,2014/11/20,7.854428362
Guangzhou,2014/11/21,8.220760963
Guangzhou,2014/11/22,8.631649213
Guangzhou,2014/11/23,9.12068001
Guangzhou,2014/11/24,8.543691617
Guangzhou,2014/11/25,8.274453507
Guangzhou,2014/11/26,8.540160867
Guangzhou,2014/11/27,8.828782599
Guangzhou,2014/11/28,8.639555072
Guangzhou,2014/11/29,8.852764518
Guangzhou,2014/11/30,8.841746697
Guangzhou,2014/12/1,8.861367979
Guangzhou,2014/12/2,8.351767523
Guangzhou,2014/12/3,8.75783135
Guangzhou,2014/12/4,8.490125704
Guangzhou,2014/12/5,8.857304926
Guangzhou,2014/12/6,8.86498217
Guangzhou,2014/12/7,8.874953927
